"store_id","uptime_last_hour","uptime_last_day","uptime_last_week","downtime_last_hour","downtime_last_day","downtime_last_week"
"56760bdb-d873-46e4-a4d8-a8f0c050967f",0,"0.02","0.02",0,"20.95","164.53"
"3e7859bd-9a16-487c-9b46-115082dd74a5",0,"5.97","65.75",0,"14.98","98.77"
"b8f24455-b6ba-4e60-8d75-a1f827113a6b",0,"0.02","0.02",0,"0.02","0.02"
"ed574fb4-14b3-40f5-842e-07cf1077d842",0,"0.02","0.02",0,"0.02","0.02"
"fb21cb05-b184-4a15-b707-f979450d8ba3",0,"0.02","0.02",0,"0.02","0.02"
"b5cbb6d3-46f8-41c1-9d36-f9b477daed44",0,"5.97","53.80",0,"14.98","110.78"
"1a2dcbb6-1276-459d-a638-b83e1bc83c86",0,"0.02","0.02",0,"0.02","0.02"
"a831e903-99c3-458c-82d0-672617656b3f",0,"12.00","101.47",0,"8.97","63.08"
"14ba8a23-4b4a-45d9-8831-cf129a8ab4b3",0,"5.97","59.77",0,"14.98","104.83"
"ae76e5c1-329f-41e1-b917-420267a4bf2b",0,"5.97","59.75",0,"14.98","104.78"
