"store_id","uptime_last_hour","uptime_last_day","uptime_last_week","downtime_last_hour","downtime_last_day","downtime_last_week"
"00bcec56-84f9-4a91-a3b8-c63ba60c69fe",0,"14.25","103.47",0,"8.57","62.07"
"02e9a94c-1f23-48b7-b040-f8a9ceae10b8",0,"0.02","0.02",0,"22.80","165.60"
"86eacb9c-499f-4b61-a4c9-704cb9d68fc0",0,"9.00","80.77",0,"11.93","83.72"
"bc62b511-f08d-47cf-a432-3f15f85530b6",0,"0.02","0.02",0,"0.02","0.02"
"fbcf2fbb-648e-48e5-ae4b-aaf2b6870913",0,"9.00","86.73",0,"11.93","77.73"
"2c3d06cb-331c-4069-92aa-7bf268166f70",0,"5.97","65.75",0,"14.97","98.73"
"abfdb85a-faed-4d93-8b6c-19188d3a6da7",0,"0.02","0.02",0,"0.02","0.02"
"f773aa22-eac6-48d5-a77d-d004d5834fee",0,"0.02","0.02",0,"22.80","165.62"
"e2d9e92a-e0c8-454a-bd9e-603a4086d5c3",0,"0.02","0.02",0,"0.02","0.02"
"d36aa160-7605-4050-9f25-1a31fc4a1026",0,"0.02","0.02",0,"0.02","0.02"
