"store_id","uptime_last_hour","uptime_last_day","uptime_last_week","downtime_last_hour","downtime_last_day","downtime_last_week"
"0a72a6a2-bff0-4e09-afe2-cfd2ffadefae",0,"9.00","80.78",0,"11.93","83.72"
"2a494af9-bf59-44b6-a171-83f8436e4e2a",0,"0.02","0.02",0,"0.02","0.02"
"79cfb8ca-69f2-418d-97dd-bcfbae9ea548",0,"9.00","80.78",0,"11.93","83.72"
"83a4534f-1637-497d-bb85-266063000dfa",0,"9.00","74.82",0,"11.97","89.73"
"19f6cf69-8773-4a73-a487-fcc94cebc95c",0,"5.97","50.77",0,"14.98","113.77"
"1a61dd95-de99-49f3-b4cb-2121d6b06d44",0,"5.97","59.73",0,"14.98","104.78"
"c325af4d-4f00-42ba-8e27-9c82d607f50a",0,"8.92","70.38",0,"13.92","95.27"
"cb70712c-2c12-4791-a0fb-f35fc6ac564c",0,"0.02","0.02",0,"0.02","0.02"
"0f650df2-4fad-4fd9-8af3-2e7c0c8405c9",0,"8.98","80.77",0,"11.97","83.75"
"b2dd0ff3-d16b-4e34-a59e-1da68c39c80b",0,"0.02","0.02",0,"0.02","0.02"
