"store_id","uptime_last_hour","uptime_last_day","uptime_last_week","downtime_last_hour","downtime_last_day","downtime_last_week"
"4c30b594-f387-4e8f-852b-4f2f4760ed66",0,"5.97","59.72",0,"14.98","104.77"
"0fdd7089-05b5-43db-8124-e7b3b09486d7",0,"0.02","0.02",0,"0.02","0.02"
"10c81ddb-a95f-4205-ab40-8413a52d5175",0,"5.98","59.73",0,"14.98","104.78"
"96c0fb72-08aa-4623-a888-c2c66367b11b",0,"0.02","0.02",0,"20.97","164.53"
"684c5df3-eb4b-4701-a5c4-275a9216b31e",0,"5.97","56.77",0,"14.98","107.78"
"a2e71b56-7126-4aa6-a97b-666390a1f464",0,"12.00","101.72",0,"8.95","62.80"
"3b8bcbab-1c82-4c79-9df5-9639c2610cf3",0,"9.00","80.77",0,"11.93","83.73"
"bddfd551-379a-492d-8a3b-27495dbfec68",0,"5.97","59.73",0,"14.98","104.77"
"9f84465e-a400-4b32-b69d-43674798afd9",0,"0.02","0.02",0,"0.02","0.02"
"73640a76-1119-4fb1-bff9-aa46b7d68789",0,"5.97","59.75",0,"15.00","104.82"
