"store_id","uptime_last_hour","uptime_last_day","uptime_last_week","downtime_last_hour","downtime_last_day","downtime_last_week"
"c162f96a-22f1-44ac-b4d1-2fd4a487d132",0,"0.02","0.02",0,"0.02","0.02"
"c4b7b374-bcd8-4034-a6fb-1c44d8eb0b99",0,"12.00","101.48",0,"8.97","63.05"
"0efe4eb0-4769-4a30-81ff-19fac0f571d0",0,"0.02","0.02",0,"0.02","0.02"
"fe545592-47c3-4d31-8c56-32ebc6b540fa",0,"11.98","98.45",0,"8.97","66.08"
"3cedaa03-37cb-42a0-a3d5-188084872732",0,"5.97","59.73",0,"14.97","104.75"
"851599bd-48c0-4e29-8821-5670fac197cd",0,"9.00","80.77",0,"11.95","83.77"
"fcbbd353-3cf9-4815-85b2-777b1eb0390c",0,"11.98","101.40",0,"8.97","63.13"
"bc00934e-d89c-4bf6-ae25-86ba83151099",0,"11.98","92.37",0,"8.97","72.17"
"a920a0e7-c321-4733-9917-50aa8e0de1e8",0,"2.95","53.72",0,"17.98","110.77"
"d6fbc481-470c-4a8b-9a0b-9c6235d1d99e",0,"9.00","77.78",0,"11.95","86.75"
